start,end,id,total_len,country,mode,devicetype,language,consent,relationship,income_reference,income_year,income_month,income_week,country_birth_mother,country_birth_father,country_birth_partner,municipality_years,children_hh,children_out,childr_n_0to5,childr_n_6to15,others_n,grandchildren,pets__1,pets__2,pets__3,pets__4,pets__5,pets__6,contract,worklife_balance,telework,rand1,loneliness_djg_a,loneliness_djg_b,loneliness_djg_c,loneliness_djg_d,loneliness_djg_e,loneliness_djg_f,family_meet_face,family_meet_tele,family_n__1,family_n__1__open,friends_meet_face,friends_meet_tele,friends_n__1,friends_n__1__open,neighbours,social_support_a,social_support_b,social_support_c,social_support_d,relationship_happiness,social_activities_a,social_activities_b,social_activities_c,loneliness_ucla_a,loneliness_ucla_b,loneliness_ucla_c,relationship_need,loneliness_direct,loneliness_intensity,life_events__1,life_events__2,life_events__3,life_events__4,life_events__5,life_events__6,life_events__7,life_events__8,life_events__9,life_events__10,life_events__11,life_events__12,lost_spouse,interventions_heard,interventions_done__1,interventions_done__2,interventions_done__3,interventions_done__4,interventions_done__5,interventions_done__6,interventions_done__7,interventions_done__8,interventions_done__9,interventions_done__10,interventions_done__11,interventions_done__12,interventions_done__13,interventions_done__14,interventions_done__15,interventions_done__16,loneliness_work_a,loneliness_work_b,loneliness_work_c,loneliness_education_a,loneliness_education_b,loneliness_education_c,loneliness_stigma1,loneliness_stigma2,sm_purpose_a,sm_purpose_b,sm_purpose_c,sm_purpose_d,sm_purpose_e,sm_time_a,sm_time_b,sm_time_c,sm_time_d,feelings_nerv,feelings_hopel,feelings_restl,feelings_depr,feelings_worthl,risk_a,risk_b,risk_c,civic_attitudes_a,civic_attitudes_b,civic_attitudes_c,trust,vote,vote_open,child_health,child_health_relatives_1,child_health_relatives_2,child_health_relatives_3,child_health_relatives_4,child_health_relatives_5,child_health_relatives_6,child_relationship_a,child_relationship_b,child_friends,religion_child,religion_now,health_general,smoking,gender,date_birth_month,date_birth_year,age,age_class,country_birth_yourself,sex_orientation,education,adults_n,region_residence,municipality_type,work_status,main_job,occupation,nace_sector,income_source,exercise,health_condition,health_condition_intensity,w_country,w_country_5,w_design
28 Nov 22,07 Dec 22,1,1059.651,10,2,2,fr,1,2,2,,6,,14,14,14,1,0,0,0,0,0,,,,,,,6,,,,2,3,3,3,2,2,1,4,4,1,1,3,5,1,2,3,2,1,2,5,5,5,2,7,2,2,2,5,5,,,,,,,,,,,,11,,,1,,,,,,,,,,,,,,,,,,,,3,2,2,1,2,1,3,1,3,3,5,5,5,4,4,6,4,4,6,6,4,2,10,4,999,4,170,,2,,,,4,,,6,7,4,5,5,3,3,1,11,1998,24,1,14,1,4,1,38,2,2,,,,1,8,2,,3.0000451,3.0000451,1.0854439
07 Dec 22,07 Dec 22,2,1617.082,21,2,2,pl,1,1,2,,8,,33,33,,24,0,0,0,0,0,,1,,,,,,1,7,2,2,2,3,3,1,1,1,5,5,1,4,3,1,1,7,1,998,4,4,3,,1,5,1,2,2,2,4,5,,,,,,,,,,,,11,,,1,,,,,,,,,,,,,,,,,4,2,1,,,,1,1,1,1,2,2,2,1,2,6,1,3,4,3,5,6,4,7,8,8,3,7,8,337,,2,1,2,,,,,8,5,1,3,4,2,2,1,2,1998,24,1,33,1,4,2,105,2,1,2,6,4,1,2,2,,3.0000999,3.000098,1.7312226
07 Dec 22,07 Dec 22,3,1394.005,21,1,1,pl,1,3,2,,10,,33,33,33,50,1,1,0,0,0,1,1,,,,,,1,3,2,1,3,3,3,1,1,1,5,5,1,6,5,6,1,20,1,4,4,4,4,10,2,3,3,1,1,1,5,4,1,,,,,,,,,,10,,,,2,1,2,,,,,,,,,11,,,,,,5,2,2,,,,1,3,3,1,2,3,3,2,3,1,5,2,5,2,3,5,3,8,7,8,2,8,7,339,,1,1,2,,,,,10,5,1,2,5,1,3,1,3,1971,51,4,33,1,4,3,105,3,1,2,4,6,1,2,2,,2.2313819,3.000098,1.000641
07 Dec 22,07 Dec 22,4,1383.7581,21,1,1,pl,1,3,2,,4,,33,33,33,0,1,0,0,1,1,1,,2,,,,,1,7,2,1,3,3,3,2,2,2,4,7,1,6,2,7,1,2,2,998,5,4,5,8,2,2,2,1,1,1,4,5,,,,,,,,7,8,,,,,,1,,,,,,,,,,,,,,,,,5,2,2,,,,1,3,2,1,2,2,2,4,2,1,5,2,6,5,6,6,9,6,6,7,3,5,7,339,,1,,,,4,,,5,8,3,3,4,1,3,2,10,1981,41,3,33,1,7,2,102,2,1,2,998,6,1,5,2,,.21527687,.079099208,1.000641
07 Dec 22,07 Dec 22,5,1208.21,21,1,1,pl,1,3,2,,8,,33,33,33,49,0,1,0,0,0,1,1,,,,5,,1,10,2,2,3,3,3,1,1,1,6,6,1,15,4,6,1,8,1,5,5,5,5,10,1,4,3,2,1,1,6,5,,,,,,,,,,,,11,,,1,,,,,,,,,,,,,,,,,5,2,2,,,,1,3,4,3,4,3,4,5,5,4,5,3,6,3,3,6,5,5,7,10,7,10,7,339,,2,1,,,,,,8,7,2,2,5,2,3,2,3,1973,49,4,33,1,4,2,102,2,1,2,3,6,1,4,2,,3.0000999,3.000098,.50032049
07 Dec 22,07 Dec 22,6,815.79602,27,2,2,sv,1,3,2,,8,,999,999,999,0,1,1,0,0,0,1,,2,,,,,1,8,2,1,3,3,3,3,3,2,1,1,1,3,1,1,1,0,1,5,5,5,5,9,1,2,1,1,2,999,1,5,,,,,,,,7,,,,,,,2,,,,,,,,,,,,,,,,,4,2,5,,,,1,998,1,2,1,3,1,2,1,1,3,5,5,6,3,5,1,3,6,10,2,999,2,373,,3,1,2,,4,,,7,5,2,5,5,4,2,1,8,1973,49,4,41,1,7,3,134,2,1,2,1,8,1,8,1,998,.86726081,.71883041,.86551613
06 Dec 22,06 Dec 22,7,1416.806,27,2,2,sv,1,2,2,,5,,41,41,41,17,2,0,0,2,0,1,,,3,,,,1,10,2,1,3,1,3,2,1,1,3,5,999,,5,6,999,,997,4,5,4,5,9,4,3,1,1,1,1,4,5,,,,,,,,7,8,,,,,,1,,,,,,,,,,,,,,,,,5,4,5,,,,1,3,4,4,2,3,4,5,5,3,6,6,6,5,5,6,8,2,2,1,2,6,5,380,,1,1,,,,,,10,7,2,5,5,2,3,1,4,1980,42,3,41,1,6,1,134,2,1,2,7,5,1,4,1,2,1.0621541,1.5414249,1.1648675
06 Dec 22,06 Dec 22,8,1173.168,27,2,2,sv,1,3,2,,6,,41,41,97,33,2,0,2,0,0,1,,,,,,6,,,,1,2,3,3,1,1,1,6,6,1,8,5,6,1,10,2,4,4,3,5,8,4,1,1,1,1,2,6,4,3,,,,,,,7,8,,,,,,2,1,,,,,,,,,10,,,,,,,,,,,,,1,2,3,3,2,2,3,4,3,1,3,4,5,3,3,5,2,5,6,10,10,8,8,377,,1,,,,,5,,9,9,1,2,3,3,3,2,2,1989,33,2,41,1,6,2,134,2,7,,,,1,1,2,,.98274553,1.0103565,1.1433755
06 Dec 22,06 Dec 22,9,1131.111,21,2,1,pl,1,1,1,,,5,33,33,,51,0,1,0,0,0,1,,,,,5,,,,,2,3,3,3,2,1,3,7,5,1,2,6,7,1,2,2,998,5,3,5,,1,3,4,2,1,1,6,4,8,,,,,,,,,,,,999,,1,,,3,,,,,,,,,,,,,,,,,,,,998,2,3,3,2,3,3,5,3,1,5,5,5,2,5,4,1,1,1,999,1,3,8,339,,2,,,,,,999,8,3,1,5,5,3,3,1,6,1971,51,4,33,1,4,1,105,3,8,,,,1,4,2,,1.2582514,1.1057123,.56425035
06 Dec 22,06 Dec 22,10,1703.327,21,1,1,pl,1,3,2,,6,,33,33,33,55,0,1,0,0,0,3,,2,,,,,,5,2,2,3,3,3,1,2,1,6,7,1,6,6,5,1,4,1,5,3,5,4,7,1,5,1,3,1,1,7,4,1,,,,,,,,,,,11,,,1,1,2,,,,,7,,,10,11,,,,,,5,2,,,,,1,3,2,2,1,2,2,4,2,1,3,2,4,4,4,4,7,6,8,10,2,5,10,337,,1,,2,,,,,10,5,1,2,2,1,3,2,2,1959,63,5,33,999,4,2,105,2,1,3,4,6,3,8,999,,3.0000999,3.000098,1.000641
